Date,Target Rate,Core Inflation Rate MoM_Actual,Core Inflation Rate MoM_Surprise,GDP Growth Rate QoQ_Actual,GDP Growth Rate QoQ_Surprise,Inflation Rate YoY_Actual,Inflation Rate YoY_Surprise, Non Farm Payrolls_Actual ,Non Farm Payrolls_Surprise
1/31/2015,0.25,0.016,-0.001,0.026,-0.007,0.008,0.001,252000,2000
2/28/2015,0.25,0.016,0,0.022,0.001,-0.001,0,257000,37000
3/31/2015,0.25,0.017,0.001,0.022,0,0,0.001,295000,11000
4/30/2015,0.25,0.018,0.001,0.002,-0.008,-0.001,-0.001,126000,-99000
5/31/2015,0.25,0.018,0.001,-0.007,-0.009,-0.002,-0.001,223000,19100
6/30/2015,0.25,0.017,-0.001,-0.002,0,0,0,280000,51000
7/31/2015,0.25,0.018,0,0.023,-0.003,0.001,0,223000,2000
8/31/2015,0.25,0.018,0,0.037,0.005,0.002,0,215000,-700
9/30/2015,0.25,0.018,-0.001,0.039,0.002,0.002,0,173000,-43000
10/31/2015,0.25,0.019,0.001,0.015,-0.001,0,0.001,142000,-60800
11/30/2015,0.25,0.019,0,0.021,0.001,0.002,0.001,271000,86000
12/31/2015,0.5,0.02,0,0.02,0.001,0.005,0.001,211000,1000
1/31/2016,0.5,0.021,0,0.007,-0.001,0.007,-0.001,292000,87000
2/29/2016,0.5,0.022,0.001,0.01,0.006,0.014,0.001,151000,-59000
3/31/2016,0.5,0.023,0.001,0.014,0.004,0.01,0.001,242000,47000
4/30/2016,0.5,0.022,-0.001,0.005,-0.002,0.009,-0.002,215000,0
5/31/2016,0.5,0.021,0,0.008,-0.001,0.011,0,160000,-48000
6/30/2016,0.5,0.022,0,0.011,0.001,0.01,-0.001,38000,-139000
7/31/2016,0.5,0.023,0,0.012,-0.014,0.01,-0.001,287000,117000
8/31/2016,0.5,0.022,-0.001,0.011,0,0.008,-0.001,255000,65000
9/30/2016,0.5,0.023,0.001,0.014,0.001,0.011,0.001,151000,-39000
10/31/2016,0.5,0.022,-0.001,0.029,0.004,0.015,0,156000,-33000
11/30/2016,0.5,0.021,-0.001,0.032,0.002,0.016,0,161000,-19000
12/31/2016,0.75,0.021,-0.001,0.035,0.002,0.017,0,178000,-2000
1/31/2017,0.75,0.022,0,0.019,-0.003,0.021,0,156000,-17000
2/28/2017,0.75,0.023,0.002,0.019,-0.002,0.025,0.001,227000,66000
3/31/2017,1,0.022,0,0.021,0.001,0.027,0,235000,55000
4/30/2017,1,0.02,-0.003,0.007,-0.004,0.024,-0.002,98000,-82000
5/31/2017,1,0.019,-0.001,0.012,0.003,0.022,-0.001,211000,36000
6/30/2017,1.25,0.017,-0.002,0.014,0.002,0.019,-0.001,138000,-42000
7/31/2017,1.25,0.017,0,0.026,0,0.016,-0.001,222000,45000
8/31/2017,1.25,0.017,0,0.03,0.003,0.017,-0.001,209000,26000
9/30/2017,1.25,0.017,0.001,0.031,0.001,0.019,0.001,156000,-34000
10/31/2017,1.25,0.017,-0.001,0.03,-0.003,0.022,-0.001,-33000,-133000
11/30/2017,1.25,0.018,0.001,0.033,0.001,0.02,0,261000,-59000
12/31/2017,1.5,0.017,-0.001,0.032,-0.001,0.022,0,228000,33000
1/31/2018,1.5,0.018,0.001,0.026,-0.001,0.021,0,148000,-43000
2/28/2018,1.5,0.018,0.001,0.025,0,0.021,0.002,200000,-15000
3/31/2018,1.75,0.018,0,0.029,0.002,0.022,0,313000,121000
4/30/2018,1.75,0.021,0,0.023,0.003,0.024,0,103000,-98000
5/31/2018,1.75,0.021,-0.001,0.022,-0.001,0.025,0,164000,-31000
6/30/2018,2,0.022,0,0.02,-0.002,0.028,0.001,223000,38000
7/31/2018,2,0.023,0,0.041,0,0.029,0,213000,35000
8/31/2018,2,0.024,0.001,0.042,0.002,0.029,-0.001,157000,-34000
9/30/2018,2.25,0.022,-0.002,0.042,0,0.027,-0.001,201000,0
10/31/2018,2.25,0.022,-0.001,0.035,0.002,0.023,-0.001,134000,-61000
11/30/2018,2.25,0.021,-0.001,0.035,0,0.025,0,250000,70000
12/31/2018,2.5,0.022,0,0.034,-0.001,0.022,0,155000,-34000
1/31/2019,2.5,0.022,0,0.034,-0.001,0.019,0,312000,147000
2/28/2019,2.5,0.022,0.001,0.026,0.001,0.016,0.001,304000,134000
